text,intent,label
"I need to temporarily turn off my internet.","safe_custody",1
"I want to pause my broadband for a while.","safe_custody",1
"How do I disable my WiFi for some time?","safe_custody",1
"Stop my internet connection for now.","safe_custody",1
"I want to freeze my broadband for a few days.","safe_custody",1
"Can you suspend my fiber connection temporarily?","safe_custody",1
"I don’t need WiFi for now—can I turn it off?","safe_custody",1
"Please put my internet on hold.","safe_custody",1
"How do I deactivate my broadband for a short period?","safe_custody",1
"Can you halt my fiber internet temporarily?","safe_custody",1
"I won’t be using my WiFi—can I pause it?","safe_custody",1
"Disable my broadband service for a bit.","safe_custody",1
"I need a break from the internet. Can I stop it?","safe_custody",1
"How can I put my WiFi on standby?","safe_custody",1
"I want to temporarily shut down my internet service.","safe_custody",1
"Can you suspend my broadband for a month?","safe_custody",1
"I’m going on vacation. Can I freeze my fiber connection?","safe_custody",1
"I don’t need WiFi for a while—how do I turn it off?","safe_custody",1
"Please pause my internet connection.","safe_custody",1
"How do I temporarily stop my fiber service?","safe_custody",1
"Can I put my broadband on hold?","safe_custody",1
"I want to suspend my WiFi for a few weeks.","safe_custody",1
"How can I deactivate my internet for a short time?","safe_custody",1
"Stop my broadband service temporarily.","safe_custody",1
"I need to disable my fiber internet for now.","safe_custody",1
"Can I switch off my broadband temporarily?","safe_custody",1
"I want to turn off my internet access for some time.","safe_custody",1
"How do I pause my WiFi connection?","safe_custody",1
"Please disable my broadband for a short while.","safe_custody",1
"I want to suspend my fiber connection for a few days.","safe_custody",1
"Can I stop my internet plan for a bit?","safe_custody",1
"How can I temporarily stop my broadband service?","safe_custody",1
"I need to put my internet connection on hold.","safe_custody",1
"Can you turn off my WiFi for a few hours?","safe_custody",1
"I’m moving—can I freeze my broadband for a while?","safe_custody",1
"I want to deactivate my internet plan for a short time.","safe_custody",1
"Please suspend my fiber connection until I reactivate it.","safe_custody",1
"How can I turn off my broadband without canceling it?","safe_custody",1
"Stop my internet for a few days but keep my account active.","safe_custody",1
"I don’t need WiFi for now—please pause it.","safe_custody",1
"Can you hold my broadband plan for a while?","safe_custody",1
"I won’t be home—can I turn off my fiber internet?","safe_custody",1
"Please put my internet plan on standby.","safe_custody",1
